"","animals_name","number_of_pets","name_length"
"10841","Roswell",1,7
"10842","Rosy",3,4
"10843","Rotie",1,5
"10844","Rou Kae",1,7
"10845","Roudy",1,5
"10846","Roulette",1,8
"10847","Roumsii",1,7
"10848","Roushe",1,6
"10849","Roux",12,4
"10850","Rover",5,5
"10851","Rover Connor Chandler",1,21
"10852","Rowan",11,5
"10853","Rowdy",9,5
"10854","Rowen",2,5
"10855","Rowena",2,6
"10856","Rowie",1,5
"10857","Rowley Keepper",1,14
"10858","Rox",1,3
"10859","Roxanne",4,7
"10860","Roxi",3,4
"10861","Roxie",35,5
"10862","Roxie Foxy",1,10
"10863","Roxie Grace",1,11
"10864","ROXIE HEART",1,11
"10865","Roxie NEW INFO",1,14
"10866","Roxy",75,4
"10867","Roxy McLovin",1,12
"10868","Roy",6,3
"10869","Roy Bergeson",1,12
"10870","Royal",3,5
"10871","Royal Blue Teddy",1,16
"10872","Royal Pop",1,9
"10873","Royce",2,5
"10874","Royell",1,6
"10875","Rozalia",1,7
"10876","Rozsa",1,5
"10877","Ruadh",1,5
"10878","Ruairdhri",1,9
"10879","Ruaridh",1,7
"10880","Rubarb",1,6
"10881","Ruben",4,5
"10882","Rubin",1,5
"10883","Ruby",187,4
"10884","Ruby B",1,6
"10885","Ruby Cheerio",1,12
"10886","Ruby Dee",2,8
"10887","Ruby Doodle",1,11
"10888","Ruby Lou",1,8
"10889","Ruby Montana",1,12
"10890","Ruby Olarti",1,11
"10891","Ruby Pearl",1,10
"10892","Ruby Rey",1,8
"10893","Ruby Rose",2,9
"10894","Ruby Zinnia",1,11
"10895","Ruca",1,4
"10896","Rucca",1,5
"10897","Ruckus",3,6
"10898","Rudd",1,4
"10899","Rudder",2,6
"10900","Ruddy",2,5
"10901","Rudi",5,4
"10902","Rudie",6,5
"10903","Rudy",59,4
"10904","Rudy Effner",1,11
"10905","Rudy Norris",1,11
"10906","Rue",12,3
"10907","Rue McClanahan",1,14
"10908","Rueprick",1,8
"10909","Rufalina",1,8
"10910","Ruff ""n"" Ruddy",1,14
"10911","Ruff Ruff",1,9
"10912","Ruffles",2,7
"10913","Ruffy",2,5
"10914","Rufina",1,6
"10915","Rufio",3,5
"10916","Rufus",52,5
"10917","Rufus Rutherford the Brave Bertman",1,34
"10918","Rufus T Firefly",1,15
"10919","Rugby",2,5
"10920","Ruger",6,5
"10921","Ruger Richardson",1,16
"10922","Ruges",1,5
"10923","Ruggles",3,7
"10924","Ruka",1,4
"10925","Ruki",1,4
"10926","Rukia",1,5
"10927","Rukka",1,5
"10928","Rum Tum",1,7
"10929","Rumble",1,6
"10930","Rumely",1,6
"10931","Rumi",3,4
"10932","Rummy",1,5
"10933","Rumpus",1,6
"10934","Rumtum",1,6
"10935","Run'way",1,7
"10936","Runa",2,4
"10937","Rune",1,4
"10938","Runt",1,4
"10939","Runway",1,6
"10940","Runya",1,5
"10941","Rupert",23,6
"10942","RUPERT",1,6
"10943","Rupert Henry",1,12
"10944","Rupurt",1,6
"10945","Rush",2,4
"10946","Rushmore",1,8
"10947","Rushton",1,7
"10948","Rusio",1,5
"10949","Russ",2,4
"10950","Russell",27,7
"10951","Russell Wilson",1,14
"10952","Russet",1,6
"10953","Russey",1,6
"10954","Russi",1,5
"10955","Rustam",1,6
"10956","Rusti",1,5
"10957","Rusti Bleu Prim",1,15
"10958","Ruston",1,6
"10959","Rusty",63,5
"10960","Rusty II",1,8
"10961","Rutabaga",1,8
"10962","Ruth",4,4
"10963","Ruth Bader Greenberg",1,20
"10964","Ruthie",11,6
"10965","Ruthie Carmina",1,14
"10966","Rux",1,3
"10967","Ruxin",3,5
"10968","Ryan",2,4
"10969","Ryder",15,5
"10970","Rye",7,3
"10971","Rye Nora",1,8
"10972","Ryka",1,4
"10973","Ryker",2,5
"10974","Rylee",8,5
"10975","Ryley",2,5
"10976","Rylie",1,5
"10977","Ryloh",1,5
"10978","Ryn",1,3
"10979","Ryu",2,3
"10980","S Horton-2",1,10
"10981","S.A.N.T.O.S.",1,12
"10982","S'more",1,6
"10983","S’morZ",1,6
"10984","Saami",1,5
"10985","Saavy",1,5
"10986","Saaz",1,4
"10987","Saba",5,4
"10988","Sabadee",1,7
"10989","Sabah",1,5
"10990","Sabastien",1,9
"10991","Sabastion",1,9
"10992","Sabby",1,5
"10993","Sabe",1,4
"10994","Sabella",1,7
"10995","Sabi",4,4
"10996","Sabin",1,5
"10997","Sabina",1,6
"10998","Sabine",8,6
"10999","Sabir",1,5
"11000","Sable",9,5
"11001","Sabre",2,5
"11002","Sabriel",1,7
"11003","Sabrina",10,7
"11004","Sabrino",1,7
"11005","Sabu",2,4
"11006","Sacco",1,5
"11007","Sacha",3,5
"11008","Sachi",7,5
"11009","Sachiko",3,7
"11010","Sada",1,4
"11011","Saddie",1,6
"11012","Sadie",178,5
"11013","Sadie Ann",1,9
"11014","Sadie Hawkins",1,13
"11015","Sadie Hope Stephenson",1,21
"11016","Sadie Jane",1,10
"11017","Sadie Mae",3,9
"11018","Sadie May",1,9
"11019","Sadie Ramona",1,12
"11020","Saehee",1,6
"11021","Saela",1,5
"11022","Safa",1,4
"11023","Saffi",1,5
"11024","Saffire",2,7
"11025","Saffron",5,7
"11026","Safi-Sana",1,9
"11027","Saga",3,4
"11028","Sagan",4,5
"11029","Sage",27,4
"11030","Sage (Holly)",1,12
"11031","Sagel",1,5
"11032","Sagi",1,4
"11033","Sahalee",1,7
"11034","Sahar",1,5
"11035","Sahara",2,6
"11036","Sailor",11,6
"11037","Saint",1,5
"11038","Saint-Remy",1,10
"11039","Saisa",1,5
"11040","Saito",1,5
"11041","Sajah",1,5
"11042","Sakan",1,5
"11043","Sakari",1,6
"11044","Sake",3,4
"11045","Sakho",1,5
"11046","Saki",2,4
"11047","Sakka",1,5
"11048","Saku",1,4
"11049","Sakura",4,6
"11050","Sal",8,3
"11051","Salah",1,5
"11052","Salchichita",1,11
"11053","Salem",12,5
"11054","Saleri",1,6
"11055","Salies",1,6
"11056","Salina",1,6
"11057","Salish",1,6
"11058","Salix",1,5
"11059","Sallie",3,6
"11060","Sally",36,5
"11061","Sally Bonilla-Toledo",1,20
"11062","Sally Jo",1,8
"11063","Sally Mae",1,9
"11064","Salma",1,5
"11065","Salonge",1,7
"11066","Saloon",1,6
"11067","Salsa",4,5
"11068","Salti",1,5
"11069","Salty",5,5
"11070","Salvador",4,8
"11071","Salvador Dali",1,13
"11072","Salvadore",1,9
"11073","Salvatore",1,9
"11074","Sam",101,3
"11075","SAM",1,3
"11076","Sam Adams",3,9
"11077","SAM Howdy",1,9
"11078","Sam-I-Am",1,8
"11079","Samaiya",1,7
"11080","Samantha",40,8
"11081","Samantha (Sammy)",1,16
"11082","Samantha Olive Harrington",1,25
"11083","Samantha Scully Hammerstrom-Guel",1,32
"11084","Samara",3,6
"11085","Samba",4,5
"11086","Sambuca",1,7
"11087","Sami",9,4
"11088","Sami Rose",1,9
"11089","Samie",1,5
"11090","Samm",1,4
"11091","Sammach",1,7
"11092","Sammamish",1,9
"11093","Sammi",11,5
"11094","Sammi Jo",1,8
"11095","Sammie",16,6
"11096","Sammie Girl",1,11
"11097","Sammie Jo",1,9
"11098","Sammish",1,7
"11099","Sammy",85,5
"11100","Sammy Sandwich",1,14
"11101","Sammy Sosa",1,10
"11102","Samnie",1,6
"11103","Samoa",2,5
"11104","Sampagita",1,9
"11105","Sampson",20,7
"11106","Sampson (Prince Charming)",1,25
"11107","Sampson (Sammy)",1,15
"11108","Samsen",1,6
"11109","Samson",35,6
"11110","Samuel",8,6
"11111","Samuel Fox",1,10
"11112","Samuel L Catson",1,15
"11113","Samurai",1,7
"11114","Samus",2,5
"11115","Samwise",5,7
"11116","San San",1,7
"11117","Sancho",6,6
"11118","Sand",1,4
"11119","Sanders",1,7
"11120","Sandor Clegane",1,14
"11121","Sandra",1,6
"11122","Sandra Day OConnor",1,18
"11123","Sandro",1,6
"11124","Sandwich",3,8
"11125","Sandy",28,5
"11126","Sandy Koufax Macedo",1,19
"11127","Sandy Storm",1,11
"11128","Sango",1,5
"11129","Sanji",1,5
"11130","SanJoKobe",1,9
"11131","Sanne Reign",1,11
"11132","Sanni",1,5
"11133","Sansa",5,5
"11134","Santana",1,7
"11135","Santi",2,5
"11136","Santiago",4,8
"11137","Santianna",1,9
"11138","Santo",2,5
"11139","Sanya Dubinets",1,14
"11140","Saoirse",1,7
"11141","Saoirse (seer-sha)",1,18
"11142","Saorise",1,7
"11143","Saphira",2,7
"11144","Sapphie",1,7
"11145","Sapphire",6,8
"11146","Sappho",3,6
"11147","Sapporo",1,7
"11148","Sara",9,4
"11149","SaRa",1,4
"11150","Sara Smile",1,10
"11151","Sarafina",1,8
"11152","Sarah",12,5
"11153","Sarah Connor",1,12
"11154","Sarai",1,5
"11155","Saran",1,5
"11156","Saratoga",1,8
"11157","Sarge",13,5
"11158","Sargeant",2,8
"11159","Sargeant Sebastian",1,18
"11160","Sargent",1,7
"11161","Sargi",1,5
"11162","Sargos",1,6
"11163","Saria",1,5
"11164","Sarita",1,6
"11165","Saru",2,4
"11166","Sasa",1,4
"11167","Sascha",3,6
"11168","Sasha",94,5
"11169","Sasha Fierce Lovecraft",1,22
"11170","Sasha Foo",1,9
"11171","Sasha Mei Mei",1,13
"11172","SashaMya",1,8
"11173","Sashi",3,5
"11174","Sashka",1,6
"11175","Sasquatch",2,9
"11176","Sassafras",1,9
"11177","Sassafras (Sassy)",1,17
"11178","Sassafrass",1,10
"11179","Sassenach Arwen",1,15
"11180","Sassie",3,6
"11181","Sassy",30,5
"11182","Sassy Cassy",1,11
"11183","Sastrugi",1,8
"11184","Sasza",1,5
"11185","Satan",1,5
"11186","Satchel",4,7
"11187","Satchi",3,6
"11188","Satchmo",1,7
"11189","Satchmo the Magnificent",1,23
"11190","Satchmoe",1,8
"11191","Sathya",1,6
"11192","Sati",1,4
"11193","Satin",1,5
"11194","Sativa",1,6
"11195","Sato",1,4
"11196","Satski",1,6
"11197","Satsuma",1,7
"11198","Saturn",2,6
"11199","saturna",1,7
"11200","Saucy",2,5
"11201","Saul",3,4
"11202","Sausage",1,7
"11203","Sausha",1,6
"11204","Savannah",5,8
"11205","Savannah Polly Anna",1,19
"11206","Savie",1,5
"11207","Savo",1,4
"11208","Savvy",1,5
"11209","Sawyer",11,6
"11210","Saxon",1,5
"11211","Saxxen",1,6
"11212","Sayde",1,5
"11213","Saydee",1,6
"11214","Saylor",1,6
"11215","Sayyida",1,7
"11216","Sazi",1,4
"11217","Sazjha",1,6
"11218","Scamp",1,5
"11219","Scamper",3,7
"11220","Scampi",1,6
"11221","Scar",1,4
"11222","Scara""mucci""",1,12
"11223","Scarlet",7,7
"11224","Scarlett",30,8
"11225","Scarlett Rose",1,13
"11226","Scarlotte",1,9
"11227","Scarpetta",1,9
"11228","Schaefer",1,8
"11229","Schatzi",4,7
"11230","Schatzie",3,8
"11231","Schel",1,5
"11232","SCHIFFER",1,8
"11233","Schlippy",1,8
"11234","Schmeagle",1,9
"11235","Schmeeber",1,9
"11236","Schmeegle",1,9
"11237","Schmitty",1,8
"11238","Schmoozer",1,9
"11239","Schnapps",2,8
"11240","Schnappsy",1,9
"11241","Schnitzel",3,9
"11242","Scholesy",1,8
"11243","Schooner",2,8
"11244","Schooter",1,8
"11245","Schotzie",1,8
"11246","Schrader",1,8
"11247","Schrodie",1,8
"11248","Schrödie",1,8
"11249","Schrodinger",1,11
"11250","Schrödinger",1,11
"11251","Schroeder",3,9
"11252","Schroeder 5",1,11
"11253","Schrute",1,7
"11254","Schultzie",1,9
"11255","Schumer",1,7
"11256","Schuster",1,8
"11257","Schwartz",1,8
"11258","Scilla",1,6
"11259","Scone",1,5
"11260","Scoober",1,7
"11261","Scooby",13,6
"11262","Scooby Doo",1,10
"11263","Scooby-Doo",1,10
"11264","Scooter",37,7
"11265","Scoots",1,6
"11266","Scotch",5,6
"11267","Scotia",1,6
"11268","Scotty",3,6
"11269","Scotty Puppen",1,13
"11270","Scotty Smalls Sweeny",1,20
"11271","Scourge",1,7
"11272","Scouser",1,7
"11273","scout",1,5
"11274","Scout",153,5
"11275","Scout Friedland",1,15
"11276","Scout Latka",1,11
"11277","Scrabbles",1,9
"11278","Scrambles",2,9
"11279","Scrappy",11,7
"11280","Scraps",1,6
"11281","Scratchy",1,8
"11282","Screech",1,7
"11283","Scritchy",1,8
"11284","Scruffi",1,7
"11285","Scruffs",1,7
"11286","Scruffty",1,8
"11287","Scruffy",9,7
"11288","Scudder",1,7
"11289","Scully",12,6
"11290","Scupper",1,7
"11291","Scuppers",1,8
"11292","Scuttlebutt",1,11
"11293","Scylla",1,6
"11294","Scyllar",1,7
"11295","Se-Se",1,5
"11296","Sea Stack",1,9
"11297","Sea-lo",1,6
"11298","Seager",1,6
"11299","Seagram",1,7
"11300","Seagun",1,6
"11301","Seahorse",1,8
"11302","Seal",2,4
"11303","Sealie",1,6
"11304","Seamus",28,6
"11305","Sean",3,4
"11306","Seastar",1,7
"11307","Seau",1,4
"11308","Sebastian",31,9
"11309","Sebastian Etris-Scully",1,22
"11310","Sebastien Oscar",1,15
"11311","Sebben",1,6
"11312","Sebek",1,5
"11313","Seca",1,4
"11314","Secret",1,6
"11315","Seddy",1,5
"11316","Sedona",1,6
"11317","Sedona pitt",1,11
"11318","Seebie",1,6
"11319","Sefu",1,4
"11320","Segolene",1,8
"11321","Segundo",2,7
"11322","Sekhmet",1,7
"11323","Sekiu",1,5
"11324","Sela",1,4
"11325","Selah",3,5
"11326","Selena",1,6
"11327","Selene",3,6
"11328","Selina",1,6
"11329","Selkie",3,6
"11330","Sella Blue",1,10
"11331","Sema",1,4
"11332","Semi",1,4
"11333","Semmy",1,5
"11334","Sender",1,6
"11335","Seneca",2,6
"11336","Senna",1,5
"11337","Senor Chompers",1,14
"11338","Señor Guapo",1,11
"11339","Senor Larry",1,11
"11340","Senta",1,5
"11341","Sephideh",1,8
"11342","Sepp",3,4
"11343","Sequioa",1,7
"11344","Sequoia",6,7
"11345","Sequoia Harley",1,14
"11346","Ser Duncan",1,10
"11347","Sera",2,4
"11348","Serabia",1,7
"11349","Serafina",3,8
"11350","Seraphina",1,9
"11351","Serena",9,6
"11352","Serena Jenna",1,12
"11353","Serendipity",1,11
"11354","Serenity",3,8
"11355","Sergeant",1,8
"11356","Sergeant Murphy",1,15
"11357","Sergeant Pepper",2,15
"11358","Sergei",1,6
"11359","Sergio",3,6
"11360","Sergio Alejandro",1,16
"11361","Sesame",4,6
"11362","Seshen",1,6
"11363","Sesi",1,4
"11364","Seta",1,4
"11365","Seth",1,4
"11366","Sethie",1,6
"11367","Seti",1,4
"11368","Seua",1,4
"11369","Seukie",1,6
"11370","Seumas",1,6
"11371","Seuss",1,5
"11372","Seva",2,4
"11373","Sevee",1,5
"11374","Seven",4,5
"11375","seven of nine",1,13
"11376","Seven of Nine",1,13
"11377","Severus",1,7
"11378","Seymour",7,7
"11379","Sgrifennu ""S-cra-ven-ey""",1,24
"11380","Sgt Pepper",1,10
"11381","Sgt Pluck",1,9
"11382","Sgt Tibbs",1,9
"11383","Sgt. Pepper",1,11
"11384","Sgt. Scraps",1,11
"11385","Shabba",1,6
"11386","Shabu",1,5
"11387","Shabue",1,6
"11388","Shackleton",3,10
"11389","Shaddow",1,7
"11390","Shade",2,5
"11391","Shadeaux",1,8
"11392","Shader",1,6
"11393","Shadi",1,5
"11394","Shadoe",1,6
"11395","Shadow",132,6
"11396","Shadow Blaze",1,12
"11397","Shadow Phan",1,11
"11398","Shadowfax",3,9
"11399","Shady",4,5
"11400","Shaely",1,6
"11401","Shaemus",1,7
"11402","Shafer",1,6
"11403","Shaggy",7,6
"11404","Shaggydog",1,9
"11405","Shaiden",1,7
"11406","Shaina",1,6
"11407","Shaiq",1,5
"11408","Shaka",4,5
"11409","Shakespeare",3,11
"11410","Shakira",1,7
"11411","Shakti",2,6
"11412","Shakura",1,7
"11413","Shalo",1,5
"11414","Shaman",1,6
"11415","Shamrock",1,8
"11416","Shamus",1,6
"11417","Shana",1,5
"11418","Shandi",1,6
"11419","Shane",6,5
"11420","Shaneyjane",1,10
"11421","Shango",1,6
"11422","Shani",2,5
"11423","Shanita",1,7
"11424","Shannen",1,7
"11425","Shannon",1,7
"11426","Shanoah",1,7
"11427","Shanti",2,6
"11428","Shao Bao",1,8
"11429","Shao li",1,7
"11430","Shaolin",1,7
"11431","Sharik",1,6
"11432","Shark",4,5
"11433","Sharkey",1,7
"11434","Sharky",3,6
"11435","Sharlie",1,7
"11436","Sharpie",1,7
"11437","Shashi",1,6
"11438","Shasta",18,6
"11439","Shaula",1,6
"11440","Shaun",1,5
"11441","Shauna",1,6
"11442","Shaw",1,4
"11443","Shay",2,4
"11444","Shayla",1,6
"11445","Shaylee",1,7
"11446","Shayley",1,7
"11447","Shayna",3,6
"11448","She She",1,7
"11449","She-Ra",3,6
"11450","Shea",1,4
"11451","Sheamus",1,7
"11452","Shear",1,5
"11453","Sheba",21,5
"11454","Sheeba",2,6
"11455","Sheeba Nikula",1,13
"11456","Sheena",1,6
"11457","Sheik",1,5
"11458","Sheikah",1,7
"11459","Sheila",6,6
"11460","Shelby",23,6
"11461","Shelby Lee",1,10
"11462","Shelby Twighlight",1,17
"11463","Sheldon",11,7
"11464","Sheldon Levine",1,14
"11465","Shelia",1,6
"11466","Shelley",1,7
"11467","Shellie",1,7
"11468","Shelly",3,6
"11469","Shelly Marie Moyer",1,18
"11470","Shemesh",1,7
"11471","Shenanigans",1,11
"11472","Shenna",1,6
"11473","Shep",3,4
"11474","Sheppie",1,7
"11475","Sheraton",1,8
"11476","Sherbert",2,8
"11477","Sherlock",9,8
"11478","Sherlock Muffleton",1,18
"11479","Sherman",20,7
"11480","Sherpa",3,6
"11481","Sherry",2,6
"11482","Sherwin",1,7
"11483","Sheva",1,5
"11484","Sheytzu",1,7
"11485","Shi Shi",1,7
"11486","Shiba",1,5
"11487","Shibul",1,6
"11488","Shida",1,5
"11489","Shideh",1,6
"11490","Shikon",1,6
"11491","Shilo",4,5
"11492","Shilo 2",1,7
"11493","Shilo Monkeybear Wooldridge",1,27
"11494","Shiloh",11,6
"11495","Shiloh Joonbug",1,14
"11496","Shimano",1,7
"11497","Shimmer",2,7
"11498","Shin'yu",1,7
"11499","Shine",3,5
"11500","Shine Sprite",1,12
"11501","Shiner",1,6
"11502","Shinji",1,6
"11503","Shinju",1,6
"11504","Shinny",1,6
"11505","Shinobu",1,7
"11506","Shipley",1,7
"11507","Shippo",1,6
"11508","Shira",1,5
"11509","Shiraz",1,6
"11510","Shirin",1,6
"11511","Shirley",5,7
"11512","Shirlock",1,8
"11513","Shiro",3,5
"11514","Shishimaru",1,10
"11515","Shitake",1,7
"11516","Shiva",2,5
"11517","Shiver Miss Timbers",1,19
"11518","Shivers",1,7
"11519","sho Mai",1,7
"11520","Shodo",1,5
"11521","Shoelace (Shoey)",1,16
"11522","Shogun",1,6
"11523","Shoji",2,5
"11524","Shonie",1,6
"11525","Shooster",1,8
"11526","Shooting Star Seamus",1,20
"11527","Shortbread",1,10
"11528","Shortcake",1,9
"11529","Shortstop",1,9
"11530","Shorty",11,6
"11531","Shosho",1,6
"11532","ShoSho",1,6
"11533","Shotgun",1,7
"11534","Shotzy",1,6
"11535","Showgirl",1,8
"11536","Shrek",1,5
"11537","Shrimp",1,6
"11538","Shu Mai",1,7
"11539","Shu Shu",1,7
"11540","Shubunkin",1,9
"11541","Shuki 2",1,7
"11542","Shuksan",2,7
"11543","Shuri",2,5
"11544","Shya",1,4
"11545","Shyann",2,6
"11546","Shyla",3,5
"11547","Shylo",1,5
"11548","Shylo Cummings",1,14
"11549","Shylock",1,7
"11550","Shyner",1,6
"11551","Shythead",1,8
"11552","Si",2,2
"11553","Sia",2,3
"11554","Siah",1,4
"11555","Siamese",1,7
"11556","Sicily",2,6
"11557","Sid",5,3
"11558","Sid Oliveira",1,12
"11559","Sid Vicious",2,11
"11560","Sidda",1,5
"11561","Siddhartha",1,10
"11562","Sidewinder",1,10
"11563","Sidney",14,6
"11564","Sidney Poitier",1,14
"11565","Siegfried",2,9
"11566","Siegfried von Steamkatzen",1,25
"11567","Sieglinde",1,9
"11568","Sieh",1,4
"11569","Siena",4,5
"11570","Sienna",12,6
"11571","Sienna Burn",1,11
"11572","Sierra",21,6
"11573","Siesta",1,6
"11574","Sif",1,3
"11575","Sifa",1,4
"11576","Sig",2,3
"11577","Siggi",1,5
"11578","Siggy",1,5
"11579","Sigi",2,4
"11580","Sigmund",3,7
"11581","Sigourney",1,9
"11582","Sigurd",1,6
"11583","Sigyn",1,5
"11584","Silas",6,5
"11585","Silboure",1,8
"11586","Silk",1,4
"11587","Silkee",1,6
"11588","Silkie",1,6
"11589","Silky",2,5
"11590","Silky Frances",1,13
"11591","Silly",2,5
"11592","Silo",1,4
"11593","Silvanna",1,8
"11594","Silver",7,6
"11595","Silvermist",1,10
"11596","Silvia",2,6
"11597","Silvie",2,6
"11598","Silvio",1,6
"11599","Sima",1,4
"11600","Simba",48,5
"11601","Simba Alan",1,10
"11602","Simcha",1,6
"11603","Simcoe",2,6
"11604","Simeon",1,6
"11605","Simon",67,5
"11606","Simon Garfunkel",1,15
"11607","Simone",6,6
"11608","Simone Boliviar Eedoe",1,21
"11609","Simpatico",1,9
"11610","Sinatra",5,7
"11611","Sinclair Lewis",1,14
"11612","Sindarin",1,8
"11613","Sindu",1,5
"11614","Sing",1,4
"11615","Sinister",1,8
"11616","Sionnach (""Chinook"")",1,20
"11617","Siouxsie",2,8
"11618","Sioxsie Pantera Sioux",1,21
"11619","Sir Bazil Longfellow",1,20
"11620","Sir Boots",1,9
"11621","Sir Digby Chicken Caesar",1,24
"11622","Sir Duke",1,8
"11623","Sir Gilman",1,10
"11624","sir henry",1,9
"11625","Sir Henry",1,9
"11626","Sir Lancealot",1,13
"11627","Sir Monkey Biscuit",1,18
"11628","Sir Niles",1,9
"11629","Sir Noodle McFluff",1,18
"11630","Sir Olliver",1,11
"11631","Sir Pinski",1,10
"11632","Sir Pounce",1,10
"11633","Sir Robert",1,10
"11634","Sir Sanders",1,11
"11635","Sir Vimes",1,9
"11636","Sir Wills Gato",1,14
"11637","Sire",1,4
"11638","Siren",2,5
"11639","Siri",4,4
"11640","Sirius",8,6
"11641","Sirius Black",1,12
"11642","Sirius Lee Welzen",1,17
"11643","Sirus",1,5
"11644","Sirus Grey",1,10
"11645","Sisco",1,5
"11646","Sisi",1,4
"11647","SiSi",2,4
"11648","Siska",1,5
"11649","Sisko",2,5
"11650","Sissi",1,5
"11651","Sissy",11,5
"11652","Sister",5,6
"11653","Sister Bertrille",1,16
"11654","Sister Mary",1,11
"11655","Sisu",2,4
"11656","Sita",2,4
"11657","Sitka",8,5
"11658","Sitka Rose",1,10
"11659","siu shu",1,7
"11660","Siva",1,4
"11661","Six",1,3
"11662","Six Thirty",1,10
"11663","Sixer",1,5
"11664","Siyah",1,5
"11665","Skadi",3,5
"11666","Skagit",1,6
"11667","Skarpi",1,6
"11668","Skeeter",7,7
"11669","Skeezix",1,7
"11670","Skeletor",1,8
"11671","Skelly",1,6
"11672","Sketch",1,6
"11673","Skibbers",1,8
"11674","Skibbles",1,8
"11675","Skidder",1,7
"11676","Skidster",1,8
"11677","Skimble",1,7
"11678","Skinner",1,7
"11679","Skinny Pete",1,11
"11680","Skip",8,4
"11681","Skip McNeff",1,11
"11682","Skipjack",1,8
"11683","Skipper",8,7
"11684","Skippers",1,8
"11685","Skippy",11,6
"11686","SkippyJon Jones",1,15
"11687","Skit",1,4
"11688","skitter",1,7
"11689","Skittles",7,8
"11690","Skjei",1,5
"11691","Skolley",1,7
"11692","Skooby Ru",1,9
"11693","Skooks",1,6
"11694","Skookum",1,7
"11695","Skooter",1,7
"11696","Skoshi",1,6
"11697","Skully",1,6
"11698","Skunk",1,5
"11699","Skunky",1,6
"11700","Skwisgaar",1,9
"11701","Sky",11,3
"11702","Sky Doodle",1,10
"11703","Skye",17,4
"11704","Skye Hart",1,9
"11705","Skylar",8,6
"11706","Skylark",2,7
"11707","Skyler",5,6
"11708","Skype",1,5
"11709","Skywalker",1,9
"11710","Skyy",2,4
"11711","Slash",1,5
"11712","Slasher",1,7
"11713","Slasher2?",1,9
"11714","Slater",1,6
"11715","Sled",1,4
"11716","Sleepy",1,6
"11717","Slesse",1,6
"11718","Slick",2,5
"11719","Slick Rick",1,10
"11720","Slider",2,6
"11721","Slightly",1,8
"11722","Slim",2,4
"11723","Slinky",7,6
"11724","Sloan",3,5
"11725","Sloane",1,6
"11726","Sloopy",1,6
"11727","Slouch",1,6
"11728","Slug",1,4
"11729","Sluggo",1,6
"11730","Slurry",1,6
"11731","Sly",3,3
"11732","Smahty",1,6
"11733","Small Fry",1,9
"11734","Smalls",1,6
"11735","Smarty",1,6
"11736","Smaug",1,5
"11737","Smella",1,6
"11738","Smidgen",3,7
"11739","Smidgeon",1,8
"11740","Smiggins",1,8
"11741","Smiley",1,6
"11742","Smilla",1,6
"11743","Smith",2,5
"11744","Smithers",2,8
"11745","Smithy",2,6
"11746","Smitty",3,6
"11747","Smoak",2,5
"11748","Smoke",1,5
"11749","Smokes",1,6
"11750","Smokey",62,6
"11751","Smokey Bear",1,11
"11752","Smokey Willy",1,12
"11753","Smokie",5,6
"11754","Smoky",3,5
"11755","Smoky Grey",1,10
"11756","Smoky Mountain Koda Bear (""Koda"")",1,33
"11757","Smolder",1,7
"11758","Smooch",1,6
"11759","Smoochie",1,8
"11760","Smoothie",2,8
"11761","Smores",1,6
"11762","Smudge",20,6
"11763","Snack",1,5
"11764","Snacks",2,6
"11765","Snaffles",1,8
"11766","Snake",1,5
"11767","Snape",1,5
"11768","Snaps",2,5
"11769","SnapShot",1,8
"11770","Snarch",1,6
"11771","Snarf",1,5
"11772","Sneaker",3,7
"11773","Sneakers",1,8
"11774","Sneezy",1,6
"11775","Snerfu",1,6
"11776","Snicker",2,7
"11777","Snickerdoodle",4,13
"11778","Snickers",29,8
"11779","Sniffer",1,7
"11780","Sniper",1,6
"11781","Snippet",1,7
"11782","Snizgaar",1,8
"11783","Snocone Bear",1,12
"11784","Snooki",1,6
"11785","Snookie",1,7
"11786","Snooks",1,6
"11787","Snookums",1,8
"11788","Snoop",9,5
"11789","snoopy",1,6
"11790","Snoopy",17,6
"11791","Snoopy (Draco)",1,14
"11792","Snoqualmie",1,10
"11793","Snorkels",1,8
"11794","Snorri",1,6
"11795","Snow",9,4
"11796","Snow Ball",1,9
"11797","Snow Flake",1,10
"11798","Snow Lucky",1,10
"11799","Snow Pants",1,10
"11800","Snow White",7,10
"11801","SNOW WHITE",1,10
"11802","Snowball",19,8
"11803","Snowball II",1,11
"11804","Snowbelle",1,9
"11805","Snowcap",1,7
"11806","Snowflake",5,9
"11807","Snowman",1,7
"11808","Snowy",11,5
"11809","Snubbins",1,8
"11810","Snuffles",3,8
"11811","Snuggles",8,8
"11812","Snuggs",1,6
"11813","Snuzzy",1,6
"11814","Snydley",1,7
"11815","Soappy",1,6
"11816","Soar",1,4
"11817","Soba",1,4
"11818","Soccer",1,6
"11819","Sochi",1,5
"11820","Socko",1,5
"11821","Socks",17,5
"11822","Socrates",4,8
"11823","Soda",3,4
"11824","Soda Pop",1,8
"11825","Sodie",1,5
"11826","Soffie",1,6
"11827","Sofi",3,4
"11828","Sofia",11,5
"11829","Sofie",18,5
"11830","Sofy",1,4
"11831","SohoElla",1,8
"11832","Soka",1,4
"11833","Sokka",3,5
"11834","Soko",1,4
"11835","Sol",5,3
"11836","Sola",2,4
"11837","Solar",1,5
"11838","Solara",1,6
"11839","Soleil",4,6
"11840","Solitude",1,8
"11841","Sollie",1,6
"11842","Solo",7,4
"11843","Solomon",4,7
